record_type,N,z,first_x,first_y,offset,ratio
first_x,1340698868,36615,38821,1340660047,2206,1.06024853202
first_x,1342332296,36637,38839,1342293457,2202,1.06010317439
first_x,1348045462,36715,38873,1348006589,2158,1.05877706659
first_x,1349144156,36730,39097,1349105059,2367,1.06444323441
first_x,1364879008,36944,39239,1364839769,2295,1.06212104807
first_x,1385272172,37219,39313,1385232859,2094,1.05626158682
first_x,1393511326,37329,39317,1393472009,1988,1.05325618152
first_x,1394203066,37339,39443,1394163623,2104,1.05634858995
first_x,1397018998,37376,39509,1396979489,2133,1.05706870719
first_x,1401454528,37436,39659,1401414869,2223,1.05938134416
first_x,1411148786,37565,39979,1411108807,2414,1.06426194596
first_x,1411913072,37575,40429,1411872643,2854,1.07595475715
first_x,1460152604,38211,40903,1460111701,2692,1.07045091728
first_x,1501217714,38745,41017,1501176697,2272,1.05863982449
first_x,1502753926,38765,41549,1502712377,2784,1.07181736102
first_x,1553613284,39415,41851,1553571433,2436,1.06180388177
first_x,1571199862,39638,41969,1571157893,2331,1.05880720521
first_x,1582169276,39776,42073,1582127203,2297,1.05774839099
first_x,1600451404,40005,42557,1600408847,2552,1.063792026
first_x,1655879168,40692,43117,1655836051,2425,1.0595940234
first_x,1694988062,41170,43159,1694944903,1989,1.04831187758
first_x,1696970018,41194,43411,1696926607,2217,1.05381851726
first_x,1710804206,41361,43633,1710760573,2272,1.05493097362
first_x,1734623918,41648,43669,1734580249,2021,1.04852573953
first_x,1735584074,41660,43717,1735540357,2057,1.04937590014
first_x,1738341716,41693,43753,1738297963,2060,1.04940877366
first_x,1740852892,41723,43961,1740808931,2238,1.05363947942
first_x,1752501892,41862,44483,1752457409,2621,1.06261048206
first_x,1793189122,42346,44633,1793144489,2287,1.05400746233
first_x,1805028074,42485,44701,1804983373,2216,1.05215958574
first_x,1820039174,42661,44797,1819994377,2136,1.05006914981
first_x,1828065566,42755,44893,1828020673,2138,1.05000584727
first_x,1836926678,42859,45259,1836881419,2400,1.05599757344
first_x,1844925622,42952,45329,1844880293,2377,1.0553408456
first_x,1852005104,43034,45433,1851959671,2399,1.05574661895
first_x,1854451616,43063,45553,1854406063,2490,1.05782226041
first_x,1858533674,43110,45631,1858488043,2521,1.0584783113
first_x,1866089528,43198,45757,1866043771,2559,1.05923885365
first_x,1866192638,43199,46099,1866146539,2900,1.06713118359
offset,1866192638,43199,46099,1866146539,2900,1.06713118359
first_x,1889306668,43466,46181,1889260487,2715,1.06246261446
first_x,1890643568,43481,46261,1890597307,2780,1.06393597203
first_x,1938390422,44027,46471,1938343951,2444,1.05551139074
first_x,1942745198,44076,46477,1942698721,2401,1.05447409021
first_x,1951245158,44172,46567,1951198591,2395,1.05421986779
first_x,1965460136,44333,46639,1965413497,2306,1.05201542869
first_x,1968619508,44369,47017,1968572491,2648,1.05968130902
first_x,1986244744,44567,47303,1986197441,2736,1.0613907151
first_x,2013279266,44869,47389,2013231877,2520,1.05616349818
first_x,2032414568,45082,47419,2032367149,2337,1.05183887139
first_x,2050524856,45282,47717,2050477139,2435,1.05377412658
first_x,2059780406,45384,47917,2059732489,2533,1.05581262119
first_x,2076895976,45572,48109,2076847867,2537,1.05567014834
first_x,2109529528,45929,48179,2109481349,2250,1.0489886564
first_x,2111922856,45955,48647,2111874209,2692,1.05857904472
first_x,2143702072,46300,48731,2143653341,2431,1.05250539957
first_x,2147484932,46340,48733,2147436199,2393,1.05164005179
first_x,2156916092,46442,48781,2156867311,2339,1.05036389475
first_x,2163580898,46514,48859,2163532039,2345,1.05041492884
first_x,2184512456,46738,49177,2184463279,2439,1.05218451795
first_x,2195416462,46855,49451,2195367011,2596,1.05540497279
first_x,2247910858,47412,50261,2247860597,2849,1.0600902725
first_x,2316778402,48132,50333,2316728069,2201,1.04572841353
first_x,2319106798,48157,50411,2319056387,2254,1.04680524119
first_x,2328431398,48253,50549,2328380849,2296,1.04758253373
first_x,2351598988,48493,50651,2351548337,2158,1.04450126822
first_x,2359099642,48570,50723,2359048919,2153,1.04432777435
first_x,2364446248,48625,50741,2364395507,2116,1.04351670951
first_x,2368877326,48671,50909,2368826417,2238,1.04598220706
first_x,2381785214,48803,51031,2381734183,2228,1.04565293117
first_x,2384501732,48831,51043,2384450689,2212,1.04529909279
first_x,2390196866,48889,51109,2390145757,2220,1.04540898771
first_x,2396227588,48951,51431,2396176157,2480,1.05066290781
first_x,2416127696,49154,51679,2416076017,2525,1.05136916629
first_x,2443159436,49428,51787,2443107649,2359,1.04772598527
first_x,2459209202,49590,51829,2459157373,2239,1.0451502319
first_x,2462639174,49624,51973,2462587201,2349,1.04733596647
first_x,2469787084,49696,52301,2469734783,2605,1.05241870573
first_x,2495453704,49954,52457,2495401247,2503,1.05010609761
first_x,2539164206,50390,52627,2539111579,2237,1.04439372891
first_x,2542902344,50427,52861,2542849483,2434,1.04826779305
first_x,2564627668,50642,52901,2564574767,2259,1.044607243
first_x,2565584498,50651,53197,2565531301,2546,1.05026554263
first_x,2596565884,50956,53783,2596512101,2827,1.05547923699
first_x,2650391554,51481,53993,2650337561,2512,1.04879470096
first_x,2686202702,51828,54091,2686148611,2263,1.04366365671
first_x,2694523652,51908,54139,2694469513,2231,1.04297988749
first_x,2700896764,51970,54287,2700842477,2317,1.04458341351
first_x,2703463912,51994,54443,2703409469,2449,1.04710158864
first_x,2722268314,52175,54497,2722213817,2322,1.04450407283
first_x,2730366094,52252,54647,2730311447,2395,1.0458355661
first_x,2751114358,52451,54779,2751059579,2328,1.04438428247
first_x,2762057248,52555,55217,2762002031,2662,1.05065169822
first_x,2764919302,52582,55229,2764864073,2647,1.05034042068
first_x,2792172154,52841,55661,2792116493,2820,1.05336765012
first_x,2837391244,53267,55823,2837335421,2556,1.04798468095
first_x,2873352044,53603,56167,2873295877,2564,1.04783314367
first_x,2898232706,53835,56209,2898176497,2374,1.04409770595
first_x,2916383192,54003,56599,2916326593,2596,1.04807140344
first_x,2963188988,54435,56779,2963132209,2344,1.04306053091
first_x,2971405168,54510,56891,2971348277,2381,1.0436800587
first_x,2985530714,54640,56983,2985473731,2343,1.0428806735
first_x,3014027474,54900,57283,3013970191,2383,1.04340619308
first_x,3038856442,55125,57383,3038799059,2258,1.04096145125
first_x,3042085258,55155,57557,3042027701,2402,1.04354999547
first_x,3045573632,55186,57679,3045515953,2493,1.04517450078
first_x,3098546084,55664,57787,3098488297,2123,1.0381395516
first_x,3102814642,55702,57791,3102756851,2089,1.03750314172
first_x,3103491172,55708,57899,3103433273,2191,1.03933007827
first_x,3107304484,55743,57923,3107246561,2180,1.03910804944
first_x,3112816258,55792,57977,3112758281,2185,1.03916332091
first_x,3122918152,55883,58661,3122859491,2778,1.04971100335
first_x,3158626844,56201,58687,3158568157,2486,1.04423408836
first_x,3180643072,56397,58901,3180584171,2504,1.0443995248
first_x,3213495746,56687,59419,3213436327,2732,1.0481944714
first_x,3255530948,57057,59539,3255471409,2482,1.04350035929
first_x,3259330994,57090,59557,3259271437,2467,1.04321247154
first_x,3266991538,57157,59621,3266931917,2464,1.04310933044
first_x,3291050512,57367,59693,3290990819,2326,1.04054595848
first_x,3303747026,57478,59797,3303687229,2319,1.04034587146
first_x,3320761874,57626,59833,3320702041,2207,1.03829868462
first_x,3330958502,57714,59863,3330898639,2149,1.03723533285
first_x,3337944898,57774,59999,3337884899,2225,1.03851213349
first_x,3346508114,57849,60013,3346448101,2164,1.03740773393
first_x,3347877476,57860,60127,3347817349,2267,1.0391807812
first_x,3356183984,57932,60133,3356123851,2201,1.03799281917
first_x,3372888884,58076,60223,3372828661,2147,1.0369687995
first_x,3375803566,58101,60257,3375743309,2156,1.03710779505
first_x,3378006146,58120,60259,3377945887,2139,1.03680316586
first_x,3391251488,58234,60331,3391191157,2097,1.03600989113
first_x,3393657158,58255,60397,3393596761,2142,1.03676937602
first_x,3395561018,58271,60457,3395500561,2186,1.0375143725
first_x,3407717912,58375,60601,3407657311,2226,1.03813276231
first_x,3408004778,58378,60649,3407944129,2271,1.03890164103
first_x,3409424302,58390,61151,3409363151,2761,1.04728549409
first_x,3412109672,58413,61339,3412048333,2926,1.0500915892
offset,3412109672,58413,61339,3412048333,2926,1.0500915892
first_x,3459655118,58818,61441,3459593677,2623,1.04459519195
first_x,3460898128,58829,61547,3460836581,2718,1.04620170324
first_x,3512678614,59267,61637,3512616977,2370,1.0399885265
first_x,3530729942,59419,61681,3530668261,2262,1.03806863125
first_x,3534895216,59454,62477,3534832739,3023,1.05084603223
offset,3534895216,59454,62477,3534832739,3023,1.05084603223
first_x,3575045882,59791,62539,3574983343,2748,1.04596009433
first_x,3625335278,60210,62581,3625272697,2371,1.03937884072
first_x,3639530578,60328,62897,3639467681,2569,1.04258387482
first_x,3641532808,60345,62981,3641469827,2636,1.04368216091
first_x,3670597394,60585,63031,3670534363,2446,1.04037302963
first_x,3684062476,60696,63197,3683999279,2501,1.04120535126
first_x,3684466526,60699,63487,3684403039,2788,1.04593156395
first_x,3731773456,61088,63587,3731709869,2499,1.04090819801
first_x,3737089996,61131,63617,3737026379,2486,1.04066676482
first_x,3756910232,61293,64231,3756846001,2938,1.04793369553
first_x,3816636844,61778,64283,3816572561,2505,1.04054841529
first_x,3842147948,61985,64327,3842083621,2342,1.03778333468
first_x,3849521968,62044,64439,3849457529,2395,1.03860163755
first_x,3861064448,62137,64489,3860999959,2352,1.03785184351
first_x,3862245542,62146,64579,3862180963,2433,1.03914974415
first_x,3864905258,62168,64627,3864840631,2459,1.03955411144
first_x,3874293022,62243,64871,3874228151,2628,1.04222161528
first_x,3880709446,62295,64919,3880644527,2624,1.04212216069
first_x,3884535586,62326,65033,3884470553,2707,1.04343291724
first_x,3929192434,62683,65423,3929127011,2740,1.04371201123
first_x,3951562238,62861,65701,3951496537,2840,1.04517904583
first_x,3983521306,63115,66359,3983454947,3244,1.05139824131
offset,3983521306,63115,66359,3983454947,3244,1.05139824131
first_x,4065804772,63763,66449,4065738323,2686,1.04212474319
first_x,4073443102,63823,66749,4073376353,2926,1.04584554158
first_x,4140522682,64346,66809,4140455873,2463,1.0382774376
first_x,4145139794,64382,67003,4145072791,2621,1.04071013637
first_x,4145256418,64383,67049,4145189369,2666,1.04140844633
first_x,4180059668,64653,67231,4179992437,2578,1.03987440645
first_x,4191049022,64738,67261,4190981761,2523,1.03897247366
first_x,4217820626,64944,67819,4217752807,2875,1.0442689086
first_x,4283406164,65447,67891,4283338273,2444,1.03734319373
first_x,4284352312,65454,68141,4284284171,2687,1.04105173099
first_x,4316384354,65699,68473,4316315881,2774,1.04222286488
first_x,4320571418,65731,68521,4320502897,2790,1.04244572576
first_x,4357688144,66012,68881,4357619263,2869,1.04346179483
first_x,4377173986,66160,68963,4377105023,2803,1.04236698912
first_x,4382049968,66197,69067,4381980901,2870,1.04335543907
first_x,4426437332,66531,69073,4426368259,2542,1.03820775278
first_x,4441891046,66647,69427,4441821619,2780,1.04171230513
first_x,4469013674,66850,69463,4468944211,2613,1.03908750935
first_x,4490132594,67008,69493,4490063101,2485,1.03708512416
first_x,4498262234,67069,70141,4498192093,3072,1.04580357542
first_x,4596552134,67797,70297,4596481837,2500,1.03687478797
first_x,4605590552,67864,70309,4605520243,2445,1.03602793823
first_x,4617932876,67955,70717,4617862159,2762,1.04064454418
first_x,4660677446,68269,70753,4660606693,2484,1.03638547511
first_x,4685951236,68454,70919,4685880317,2465,1.03600958308
first_x,4688879024,68475,70957,4688808067,2482,1.0362468054
first_x,4701322688,68566,71257,4701251431,2691,1.03924685704
first_x,4732142224,68790,71261,4732070963,2471,1.03592091874
first_x,4737455098,68829,71537,4737383561,2708,1.03934388121
first_x,4785760274,69179,71551,4785688723,2372,1.03428786192
first_x,4795022798,69246,71809,4794950989,2563,1.03701296826
first_x,4822741984,69445,71933,4822670051,2488,1.03582691338
first_x,4840090714,69570,71987,4840018727,2417,1.03474198649
first_x,4842984274,69591,72341,4842911933,2750,1.03951660416
first_x,4871504884,69796,72503,4871432381,2707,1.03878445756
first_x,4919186284,70136,72647,4919113637,2511,1.03580187065
first_x,4943202358,70307,72689,4943129669,2382,1.0338799835
first_x,4947343132,70337,72893,4947270239,2556,1.03633933776
first_x,4961676022,70439,72959,4961603063,2520,1.03577563566
first_x,4995380812,70678,73013,4995307799,2335,1.03303715442
first_x,4997412166,70692,73613,4997338553,2921,1.0413200928
first_x,5044508068,71024,73961,5044434107,2937,1.04135221897
first_x,5086888322,71322,74101,5086814221,2779,1.03896413449
first_x,5110964926,71491,74177,5110890749,2686,1.0375711628
first_x,5158160212,71820,74453,5158085759,2633,1.03666109719
first_x,5193158312,72063,74623,5193083689,2560,1.03552447164
first_x,5211370748,72189,74761,5211295987,2572,1.03562869689
first_x,5237809796,72372,75013,5237734783,2641,1.03649201349
first_x,5259566086,72522,75389,5259490697,2867,1.03953283142
first_x,5285590588,72702,75407,5285515181,2705,1.03720667932
first_x,5319041314,72931,75611,5318965703,2680,1.03674706229
first_x,5329838446,73005,75659,5329762787,2654,1.03635367441
first_x,5332528594,73024,75821,5332452773,2797,1.0383024759
first_x,5371616902,73291,75833,5371541069,2542,1.03468365829
first_x,5407355438,73534,75979,5407279459,2445,1.0332499252
first_x,5421810272,73632,76099,5421734173,2467,1.03350445458
first_x,5438699792,73747,76243,5438623549,2496,1.03384544456
first_x,5440625096,73760,76603,5440548493,2843,1.03854392625
first_x,5505086138,74196,76717,5505009421,2521,1.03397757291
first_x,5526042136,74337,76829,5525965307,2492,1.03352301008
first_x,5530085318,74364,77347,5530007971,2983,1.04011349578
first_x,5600465888,74836,77377,5600388511,2541,1.03395424662
first_x,5619504962,74963,77569,5619427393,2606,1.03476381682
first_x,5633497616,75056,77773,5633419843,2717,1.0361996376
first_x,5685419098,75401,77951,5685341147,2550,1.03381918012
first_x,5692881098,75451,78259,5692802839,2808,1.03721620654
first_x,5744549722,75792,78593,5744471129,2801,1.03695640701
first_x,5787192106,76073,78887,5787113219,2814,1.03699078517
first_x,5868056812,76603,78989,5867977823,2386,1.03114760519
first_x,5878875172,76673,79133,5878796039,2460,1.03208430608
first_x,5883686696,76705,79273,5883607423,2568,1.03347891272
first_x,5898068846,76798,79423,5897989423,2625,1.03418057762
first_x,5903521604,76834,79621,5903441983,2787,1.03627300414
first_x,5968116274,77253,79907,5968036367,2654,1.03435465289
first_x,5996341796,77436,79939,5996261857,2503,1.03232346712
first_x,6000220208,77461,80149,6000140059,2688,1.03470133357
first_x,6001281068,77467,80251,6001200817,2784,1.03593788323
first_x,6038869358,77710,80527,6038788831,2817,1.03625016085
first_x,6064109042,77872,80989,6064028053,3117,1.04002722416
first_x,6149452508,78418,81001,6149371507,2583,1.03293886608
first_x,6179467922,78609,81649,6179386273,3040,1.03867241664
first_x,6250728944,79061,81703,6250647241,2642,1.03341723479
first_x,6310108274,79436,82021,6310026253,2585,1.03254192054
first_x,6344823658,79654,82067,6344741591,2413,1.03029351947
first_x,6379121492,79869,82171,6379039321,2302,1.02882219635
first_x,6384221638,79901,82757,6384138881,2856,1.03574423349
first_x,6429804154,80186,82781,6429721373,2595,1.03236225775
first_x,6444378856,80276,82883,6444295973,2607,1.03247545966
first_x,6496064116,80598,82889,6495981227,2291,1.02842502295
first_x,6505574872,80657,83003,6505491869,2346,1.02908613016
first_x,6522416654,80761,83203,6522333451,2442,1.03023736705
first_x,6528142678,80796,83267,6528059411,2471,1.03058319719
first_x,6548825548,80924,83357,6548742191,2433,1.0300652464
first_x,6552543628,80947,83471,6552460157,2524,1.03118089614
first_x,6561598996,81003,83663,6561515333,2660,1.03283828994
first_x,6572742074,81072,83701,6572658373,2629,1.03242796527
first_x,6619746442,81361,83813,6619662629,2452,1.03013728936
first_x,6622303964,81377,83857,6622220107,2480,1.03047544146
first_x,6628940504,81418,84121,6628856383,2703,1.03319904689
first_x,6639505784,81483,84313,6639421471,2830,1.03473117092
first_x,6667183646,81652,84499,6667099147,2847,1.03486748641
first_x,6667633282,81655,84509,6667548773,2854,1.03495193191
first_x,6669732544,81668,84521,6669648023,2853,1.03493412352
first_x,6711106652,81921,84559,6711022093,2638,1.03220175535
first_x,6733238528,82056,84589,6733153939,2533,1.03086916252
first_x,6750238822,82159,84629,6750154193,2470,1.03006365706
first_x,6762352088,82233,84649,6762267439,2416,1.02937993263
first_x,6767589824,82265,84991,6767504833,2726,1.03313681395
first_x,6781867556,82352,85027,6781782529,2675,1.03248251409
first_x,6793511594,82422,85081,6793426513,2659,1.03226080415
first_x,6799621288,82459,85229,6799536059,2770,1.03359245201
first_x,6811273886,82530,85237,6811188649,2707,1.03280019387
first_x,6839847272,82703,85243,6839762029,2540,1.0307123079
first_x,6849345842,82760,85513,6849260329,2753,1.03326486225
first_x,6885535264,82979,85523,6885449741,2544,1.03065835934
first_x,6889378072,83002,85703,6889292369,2701,1.03254138454
first_x,6924702892,83214,85781,6924617111,2567,1.03084817459
first_x,6933685082,83268,86323,6933598759,3055,1.03668876399
first_x,6964216502,83451,86389,6964130113,2938,1.03520628872
first_x,6975754306,83520,86423,6975667883,2903,1.03475814176
first_x,7017355622,83769,86929,7017268693,3160,1.03772278528
first_x,7117144988,84363,87181,7117057807,2818,1.03340326921
first_x,7123562474,84401,87541,7123474933,3140,1.03720335067
first_x,7175371888,84707,87557,7175284331,2850,1.0336453894
first_x,7204316566,84878,87719,7204228847,2841,1.03347157096
first_x,7221009578,84976,87739,7220921839,2763,1.03251506308
first_x,7229121016,85024,87797,7229033219,2773,1.03261432066
first_x,7262787286,85221,87869,7262699417,2648,1.03107215358
first_x,7282109878,85335,87881,7282021997,2546,1.02983535478
first_x,7282852454,85339,87961,7282764493,2622,1.0307245222
first_x,7286963116,85363,87977,7286875139,2614,1.03062216651
first_x,7296517196,85419,88117,7296429079,2698,1.03158547864
first_x,7300190236,85441,88463,7300101773,3022,1.03536943622
first_x,7353019232,85749,88681,7352930551,2932,1.03419281858
first_x,7368470458,85839,88721,7368381737,2882,1.03357448246
first_x,7421083606,86145,88793,7420994813,2648,1.03073887051
first_x,7435601006,86229,88819,7435512187,2590,1.03003629869
first_x,7446693140,86294,88903,7446604237,2609,1.03023385172
first_x,7451974282,86324,89003,7451885279,2679,1.03103424308
first_x,7459887088,86370,89051,7459798037,2681,1.03104087067
first_x,7464004136,86394,89329,7463914807,2935,1.03397226659
first_x,7514742142,86687,89501,7514652641,2814,1.03246161477
first_x,7542480698,86847,89599,7542391099,2752,1.03168791092
first_x,7556586082,86928,89681,7556496401,2753,1.03166988772
first_x,7611480148,87243,90059,7611390089,2816,1.03227766125
first_x,7630870718,87354,90199,7630780519,2845,1.0325686288
first_x,7669869458,87577,90217,7669779241,2640,1.03014490106
first_x,7678150654,87625,90263,7678060391,2638,1.03010556348
first_x,7718674016,87855,90373,7718583643,2518,1.02866086165
first_x,7739584394,87974,90481,7739493913,2507,1.02849705595
first_x,7743434942,87996,90709,7743344233,2713,1.03083094686
first_x,7755374428,88064,90887,7755283541,2823,1.03205623183
first_x,7775008552,88176,91079,7774917473,2903,1.03292279078
first_x,7821751828,88440,91811,7821660017,3371,1.038116237
offset,7821751828,88440,91811,7821660017,3371,1.038116237
first_x,7935878686,89083,91943,7935786743,2860,1.03210489094
first_x,7960315508,89220,91969,7960223539,2749,1.03081147725
first_x,7976178292,89309,92051,7976086241,2742,1.03070239282
first_x,8029676842,89608,92381,8029584461,2773,1.03094589769
first_x,8056650058,89758,92567,8056557491,2809,1.03129526059
first_x,8092748518,89959,92789,8092655729,2830,1.03145877566
first_x,8114741354,90081,93187,8114648167,3106,1.03448007904
first_x,8174761642,90414,93251,8174668391,2837,1.03137788396
first_x,8214473152,90633,93281,8214379871,2648,1.02921673121
first_x,8258646406,90877,93329,8258553077,2452,1.02698152448
first_x,8263480948,90903,93407,8263387541,2504,1.02754584557
first_x,8294354146,91073,93923,8294260223,2850,1.03129357768
first_x,8325127808,91242,94111,8325033697,2869,1.03144385261
first_x,8398646824,91644,94463,8398552361,2819,1.03076033346
first_x,8447646898,91911,94529,8447552369,2618,1.02848407699
first_x,8465475712,92008,94559,8465381153,2551,1.02772584993
first_x,8487651448,92128,94847,8487556601,2719,1.02951328586
first_x,8538098446,92401,94889,8538003557,2488,1.02692611552
first_x,8550672184,92469,95087,8550577097,2618,1.02831219111
first_x,8556367538,92500,95089,8556272449,2589,1.02798918919
first_x,8588831804,92675,95143,8588736661,2468,1.02663069868
first_x,8599344772,92732,95231,8599249541,2499,1.02694862615
first_x,8614565138,92814,95479,8614469659,2665,1.02871334066
first_x,8660753506,93063,95783,8660657723,2720,1.02922751255
first_x,8679370978,93163,95957,8679275021,2794,1.02999044685
first_x,8695931158,93251,96419,8695834739,3168,1.03397282603
first_x,8792583806,93768,96703,8792487103,2935,1.03130065694
first_x,8886967402,94270,97001,8886870401,2731,1.02896997985
first_x,8906608276,94374,97283,8906510993,2909,1.03082416767
first_x,8988217388,94806,97549,8988119839,2743,1.02893276797
first_x,8993858396,94835,97687,8993760709,2852,1.03007328518
first_x,9018006128,94963,97777,9017908351,2814,1.02963259375
first_x,9021786464,94983,98101,9021688363,3118,1.03282692692
first_x,9089532412,95339,98129,9089434283,2790,1.0292639948
first_x,9117429686,95485,98143,9117331543,2658,1.02783683301
first_x,9128889746,95545,98227,9128791519,2682,1.02807054268
first_x,9146192786,95635,98407,9146094379,2772,1.02898520416
first_x,9150821522,95659,98443,9150723079,2784,1.02910337762
first_x,9164875994,95733,98731,9164777263,2998,1.03131626503
first_x,9223653574,96039,98801,9223554773,2762,1.02875914993
first_x,9252620786,96190,98869,9252521917,2679,1.02785112798
first_x,9260753954,96232,98947,9260655007,2715,1.02821306842
first_x,9265349944,96256,98981,9265250963,2725,1.02830992354
first_x,9265570214,96257,99721,9265470493,3464,1.03598699315
offset,9265570214,96257,99721,9265470493,3464,1.03598699315
first_x,9416152364,97036,99733,9416052631,2697,1.02779380848
first_x,9428524934,97100,100003,9428424931,2903,1.02989701339
first_x,9440154032,97160,100291,9440053741,3131,1.03222519555
first_x,9531452354,97629,100297,9531352057,2668,1.02732794559
first_x,9532662394,97635,100391,9532562003,2756,1.02822758232
first_x,9534125294,97642,100393,9534024901,2751,1.0281743512
first_x,9564155914,97796,100613,9564055301,2817,1.02880485909
first_x,9583978528,97897,100799,9583877729,2902,1.02964340072
first_x,9616957312,98066,100913,9616856399,2847,1.0290314686
first_x,9621415814,98088,101281,9621314533,3193,1.03255240192
first_x,9668392304,98327,101377,9668290927,3050,1.03101894698
first_x,9761048204,98798,101737,9760946467,2939,1.02974756574
first_x,9839138128,99192,101741,9839036387,2549,1.02569763691
first_x,9841129888,99202,101807,9841028081,2605,1.02625955122
first_x,9858991768,99292,101891,9858889877,2599,1.02617532127
first_x,9867239518,99333,101957,9867137561,2624,1.02641619603
first_x,9872042098,99358,102551,9871939547,3193,1.03213631514
first_x,9997348832,99986,102673,9997246159,2687,1.02687376233
